Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
06-02-1980,"Near Yachiba, Bolivia",-16.290154,-63.588653,Lloyd Aereo Boliviano,,Fairchild F-27J,13,13,0
06-08-1980,"Near Matala, Angola",-14.7398455,15.0148322,Lineas Aereas de Angola,,Yakovlev YAK-40,29,29,0
06-12-1980,"Valley, Nebraska",41.3110284,-96.3465622,Air Wisconsin,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",Swearingen 226TC Metro II,15,13,0
06-12-1980,"Near Dushanbe, Russia",61.52401,105.318756,Aeroflot,,Yakovlev YAK-40,29,29,0
06/15/1980,"Lihue, Hawaii",21.9742235,-159.3672769,Aero PaLease - Air Taxi,"Honolulu, HI - Lihue, HI",Piper PA-34,2,2,0
06/27/1980,"Tyrrhenian Sea,  off Ustica, Italy",38.7031179,13.1682675,Itavia,Bologna - Palermo,McDonnell Douglas DC-9-15,81,81,0
07-07-1980,"Near Tepic, Mexico",21.5041651,-104.8945887,IMSS,,Embraer 110P1 Bandeirante,13,13,0
07-07-1980,"Nar Alma-Ata, Kasakastan, USSR",43.2220146,76.8512485,Aeroflot,Alma Ata - Simferopol,Tupolev TU-154B,166,166,0
07-12-1980,"Golovin, Alaska",64.5450667,-163.036256,Ryan Air Services,"Nome, AK - Unalakeet, AK",Cessna 402B,8,8,0
07/21/1980,"Tusayan, Arizona",35.9735954,-112.1265569,SceniAirlines,"Tusayan, AZ - Phoenix, AZ",Cessna 404 Titan II,8,8,0
07/25/1980,"Philadelphia, Pennsylvania",39.9525839,-75.1652215,Air Pennsylvania - Air Taxi,"Hazelton, PA - Philadelphia, PA",Piper PA-31-350,3,3,0
08-01-1980,"Cerro Lilio, Mexico",23.634501,-102.552784,Aeronaves del Peru,"Lima, Peu - Mexico City, Mexico",Douglas DC-8-43F,7,3,0
08-03-1980,"Togiak, Alaska",59.0618127,-160.3769037,Yute Air Alaska - Air Taxi,"Dillingham, AK - Return",de Havilland DHC-3,9,2,0
08-06-1980,"Houma, Louisiana",29.5957696,-90.7195348,Air Logistics,Oil Platform SS-224 - Houma LA,Bell 205A-1 helicopter,13,13,0
